src,tic_id,toi_id,Disposition,RA,Dec,Tmag,Tmag Err,Epoc,Epoc Err,Period,Period Err,Duration,Duration Err,Transit Depth,Transit Depth Err,Sectors
qlp,22186226,.01,0,,,,,,,,,,,,,48
qlp,22221375,.01,0,,,,,,,,,,,,,48
qlp,22233480,.01,0,,,,,,,,,,,,,48
qlp,22529346,.01,0,,,,,,,,,,,,,48
qlp,22683951,.01,0,,,,,,,,,,,,,48
qlp,22843856,.01,0,,,,,,,,,,,,,48
qlp,23059280,.01,0,,,,,,,,,,,,,48
qlp,23229805,.01,0,,,,,,,,,,,,,48
qlp,23389848,.01,0,,,,,,,,,,,,,48
qlp,23650642,.01,0,,,,,,,,,,,,,48
qlp,23982469,.01,0,,,,,,,,,,,,,48
qlp,24358417,.01,0,,,,,,,,,,,,,48
qlp,24695044,.01,0,,,,,,,,,,,,,48
qlp,25139786,.01,0,,,,,,,,,,,,,48
qlp,25155310,.01,0,,,,,,,,,,,,,48
qlp,25375553,.01,0,,,,,,,,,,,,,48
qlp,25799609,.01,0,,,,,,,,,,,,,48
qlp,26017005,.01,0,,,,,,,,,,,,,48
qlp,26469462,.01,0,,,,,,,,,,,,,48
qlp,26547036,.01,0,,,,,,,,,,,,,48
qlp,26826078,.01,0,,,,,,,,,,,,,48
qlp,26880783,.01,0,,,,,,,,,,,,,48
qlp,27064468,.01,0,,,,,,,,,,,,,48
qlp,27194429,.01,0,,,,,,,,,,,,,48
qlp,27318774,.01,0,,,,,,,,,,,,,48
qlp,27491137,.01,0,,,,,,,,,,,,,48
qlp,27649847,.01,0,,,,,,,,,,,,,48
qlp,27769688,.01,0,,,,,,,,,,,,,48
qlp,27774415,.01,0,,,,,,,,,,,,,48
qlp,27848472,.01,0,,,,,,,,,,,,,48
qlp,27916356,.01,0,,,,,,,,,,,,,48
qlp,27966179,.01,0,,,,,,,,,,,,,48
qlp,27990610,.01,0,,,,,,,,,,,,,48
qlp,28116365,.01,0,,,,,,,,,,,,,48
qlp,28230919,.01,0,,,,,,,,,,,,,48
qlp,28873762,.01,0,,,,,,,,,,,,,48
